document,term,w
1,adding,1
1,adult,2
1,adult,2
1,ago,3
1,alcohol,4
1,allegedly,5
1,allen,6
1,apparently,7
1,apparently,7
1,appeared,8
1,arrested,9
1,assault,10
1,atlantic,11
1,atlantic,11
1,attempted,12
1,authorities,13
1,baptist,14
1,baptist,14
1,believe,15
1,bible,16
1,big,17
1,body,18
1,boy,19
1,boy,19
1,boy,19
1,boy,19
1,boys,20
1,boys,20
1,boys,20
1,boys,20
1,building,21
1,bureau,22
1,carried,23
1,charged,24
1,charges,25
1,charles,26
1,chief,27
1,christian,28
1,christian,28
1,church,29
1,class,30
1,classroom,31
1,classroom,31
1,classroom,31
1,classroom,31
1,complex,32
1,condition,33
1,confiscated,34
1,crying,35
1,death,36
1,detective,37
1,didnt,38
1,didnt,38
1,died,39
1,discipline,40
1,divorce,41
1,dont,42
1,door,43
1,door,43
1,elliott,44
1,elliott,44
1,events,45
1,family,46
1,farley,47
1,farley,47
1,federal,48
1,felony,49
1,filled,50
1,fire,51
1,firearms,52
1,fired,53
1,fired,53
1,firing,54
1,first,55
1,firstdegree,56
1,fled,57
1,floor,58
1,found,59
1,found,59
1,four,60
1,four,60
1,friday,61
1,friends,62
1,george,63
1,glass,64
1,god,65
1,good,66
1,good,66
1,grade,67
1,grandfather,68
1,grandfather,68
1,grandmother,69
1,grandmothers,70
1,grandson,71
1,gun,72
1,gun,72
1,gun,72
1,guns,73
1,guns,73
1,guns,73
1,gunshot,74
1,h,75
1,happened,76
1,high,77
1,hour,78
1,i,79
1,identified,80
1,identified,80
1,illness,81
1,interviewed,82
1,investigation,83
1,jammed,84
1,jammed,84
1,jammed,84
1,jesus,85
1,junior,86
1,just,87
1,juvenile,88
1,karen,89
1,kids,90
1,kids,90
1,killed,91
1,killed,91
1,kindergarten,92
1,knew,93
1,knew,93
1,know,94
1,last,95
1,lewis,96
1,like,97
1,like,97
1,liked,98
1,little,99
1,locked,100
1,long,101
1,lot,102
1,main,103
1,marino,104
1,marino,104
1,marino,104
1,maurice,105
1,meeting,106
1,miracle,107
1,morning,108
1,motive,109
1,ms,110
1,murder,111
1,murder,111
1,name,112
1,name,112
1,names,113
1,neighbors,114
1,nicholas,115
1,nicholas,115
1,occurred,116
1,officers,117
1,ones,118
1,opening,119
1,outside,120
1,parents,121
1,parents,121
1,pastor,122
1,pastor,122
1,pending,123
1,people,124
1,pistol,125
1,pistol,125
1,police,126
1,police,126
1,police,126
1,police,126
1,police,126
1,police,126
1,police,126
1,portable,127
1,pride,128
1,primary,129
1,private,130
1,purchased,131
1,r,132
1,related,133
1,relatives,134
1,release,135
1,request,136
1,resolved,137
1,room,138
1,rounds,139
1,running,140
1,sam,141
1,saturday,142
1,saturday,142
1,save,143
1,save,143
1,school,144
1,school,144
1,school,144
1,school,144
1,school,144
1,school,144
1,school,144
1,schools,145
1,see,146
1,senior,147
1,separated,148
1,sequence,149
1,serious,150
1,shell,151
1,shooting,152
1,shootings,153
1,shootings,153
1,shores,154
1,shores,154
1,shot,155
1,shot,155
1,shot,155
1,shot,155
1,shot,155
1,shoulder,156
1,slain,157
1,snapped,158
1,spent,159
1,spokesman,160
1,sr,161
1,student,162
1,student,162
1,students,163
1,students,163
1,students,163
1,students,163
1,students,163
1,susan,164
1,sweet,165
1,talking,166
1,target,167
1,teacher,168
1,teacher,168
1,teacher,168
1,teacher,168
1,teacher,168
1,teacher,168
1,teacher,168
1,th,169
1,third,170
1,third,170
1,three,171
1,tobacco,172
1,tom,173
1,troubled,174
1,trying,175
1,wall,176
1,went,177
1,williams,178
1,withheld,179
1,wounded,180
1,wounded,180
1,wounds,181
1,year,182
1,yearold,183
1,yearold,183
1,yearold,183
1,years,184
1,youngsters,185
1,youths,186
2,able,187
2,acknowledged,188
2,al,189
2,anonymity,190
2,answering,191
2,appeared,8
2,arrangement,192
2,arrangements,193
2,asked,194
2,associated,195
2,assurances,196
2,attorney,197
2,attorney,197
2,bechtel,198
2,bechtel,198
2,bechtel,198
2,bechtel,198
2,bechtel,198
2,bechtel,198
2,bechtel,198
2,behalf,199
2,believed,200
2,billion,201
2,bomb,202
2,bomb,202
2,border,203
2,border,203
2,bruce,204
2,built,205
2,came,206
2,close,207
2,close,207
2,come,208
2,comment,209
2,comments,210
2,company,211
2,company,211
2,company,211
2,company,211
2,complete,212
2,concern,213
2,condition,33
2,conducted,214
2,consent,215
2,construction,216
2,crazy,217
2,day,218
2,denied,219
2,denied,219
2,denounced,220
2,development,221
2,directly,222
2,discount,223
2,discussed,224
2,disposal,225
2,e,226
2,earlier,227
2,edwin,228
2,effect,229
2,engineering,230
2,financier,231
2,first,55
2,flynn,232
2,focus,233
2,foreign,234
2,foreign,234
2,foreign,234
2,foreign,234
2,francisco,235
2,francisco,235
2,franciscobased,236
2,friend,237
2,friend,237
2,funds,238
2,general,239
2,go,240
2,government,241
2,group,242
2,group,242
2,handling,243
2,handling,243
2,ideas,244
2,iii,245
2,important,246
2,improper,247
2,inc,248
2,indicated,249
2,investigation,83
2,iraq,250
2,iraq,250
2,iraqi,251
2,iraqi,251
2,israel,252
2,israel,252
2,israel,252
2,israel,252
2,israel,252
2,israel,252
2,israeli,253
2,israeli,253
2,israels,254
2,israels,254
2,jerusalem,255
2,jordan,256
2,jordan,256
2,just,87
2,keep,257
2,knew,93
2,knowledge,258
2,labor,259
2,leads,260
2,made,261
2,made,261
2,made,261
2,made,261
2,make,262
2,man,263
2,marked,264
2,meese,265
2,meese,265
2,meese,265
2,memo,266
2,memo,266
2,memo,266
2,memo,266
2,memo,266
2,mentioned,267
2,million,268
2,million,268
2,million,268
2,minister,269
2,minister,269
2,ministers,270
2,ministry,271
2,ministry,271
2,ministry,271
2,native,272
2,offer,273
2,offer,273
2,offer,273
2,offer,273
2,offer,273
2,offer,273
2,offer,273
2,offer,273
2,offer,273
2,offered,274
2,official,275
2,official,275
2,official,275
2,official,275
2,official,275
2,official,275
2,official,275
2,official,275
2,oil,276
2,oil,276
2,oil,276
2,oil,276
2,oil,276
2,oil,276
2,partner,277
2,party,278
2,party,278
2,payment,279
2,people,124
2,percent,280
2,peres,281
2,peres,281
2,peres,281
2,peres,281
2,peres,281
2,peres,281
2,peres,281
2,peres,281
2,peres,281
2,peres,281
